abk,abhaasi,Abkhaz, ,Käytä
ace,aceh,Achinese, 
ada,adangme,Adangme, 
ady,adyge,Adygei,Aikaisempi koodi: cau
aar,afar,Afar, 
afh,afrihili (keinotekoinen kieli),Afrihili (Artificial language), 
afr,afrikaans,Afrikaans, 
afa,afroaasialaiset kielet,Afroasiatic languages,Käytä yksilöimättömille afroaasialaisille kielille
aym,aimara,Aymara, 
ain,ainu,Ainu,Aikaisempi koodi: mis
aka,akan,Akan, 
akk,akkadi,Akkadian, 
nds,alasaksa,Low German,Aikaisempi koodi: gem
dsb,alasorbi,Lower Sorbian,Aikaisempi koodi: wen
alb,albania,Albanian, 
ale,aleutti,Aleut, 
alg,algonkin-kielet,Algonquian languages,Käytä yksilöimättömille algonkin-kielille
alt,altai,Souther Altai,Aikaisempi koodi: tut
tut,altailaiset kielet,Altaic languages,Käytä yksilöimättömille altailaisille kielille
amh,amhara,Amharic, 
anp,angika,Angika,Aikaisempi koodi: bih
apa,apassikielet,Apache languages,Käytä yksilöimättömille apassikielille
ara,arabia,Arabic, 
arg,aragonia,Aragonese Spanish,Aikaisempi koodi: spa
arc,aramea,Aramaic, 
arp,arapho,Arapaho, 
arn,araukaani,Mapudungun, 
arw,arawak,Arawak, 
arm,armenia,Armenian, 
rup,aromania,"Aromanian, Arumanian, Macedo-Romanian", 
asm,assami,Assamese, 
ast,asturia,Bable,Aikaisempi koodi: spa
ath,athapasca-kielet,Athapascan languages,Käytä yksilöimättömille athapasca-kielille
ach,atsoli,Acoli, 
aus,australialaiset kielet,Australian languages,Käytä yksilöimättömille australialaisille kielille
map,austronesialaiset kielet,Austronesian languages,Käytä yksilöimättömille austronesialaisille kielille
ava,avaari,Avaric, 
ave,avesta,Avestan, 
awa,awadhi,Awadhi, 
aze,azeri,Azerbaijani, 
ban,bali,Balinese, 
bat,balttilaiset kielet,Baltic languages,Käytä yksilöimättömille balttilaisille kielille
bam,bambara,Bambara, 
bai,bamileke-kielet,Bamileke languages,Käytä yksilöimättömille bamileke-kielille
bad,banda,Banda languages, 
bnt,bantukielet,Bantu languages,Käytä yksilöimättömille bantukielille
bas,basa (bantukielet),Basa, 
baq,baski,Basque, 
bak,baskiiri,Bashkir, 
btk,batak,Batak languages, 
bej,bedza,Beja, 
bal,belutsi,Baluchi, 
bem,bemba,Bemba, 
ben,bengali,Bengali, 
ber,berberikielet,Berber languages,Käytä yksilöimättömille berberikielille
bho,bhodzpuri,Bhojpuri, 
bih,bihari,Bihari languages, 
bik,bikol,Bikol, 
byn,bilin,Bilin,Aikaisempi koodi: cus
bin,bini,Bini, 
bis,bislama,Bislama, 
zbl,Bliss-symbolit,Blissymbolics, 
bos,bosnia,Bosnian, 
bra,bradz,Braj, 
bre,bretoni,Breton, 
bug,bugi,Bugis, 
bul,bulgaria,Bulgarian, 
bua,burjaatti,Buriat, 
bur,burma,Burmese, 
cad,caddo,Caddo, 
ceb,cebuano,Cebuano, 
chr,cherokee,Cherokee, 
chy,cheyenne,Cheyenne, 
chn,chinook-jargon,Chinook jargon, 
chp,chipewyan,Chipewyan, 
cho,choctaw,Choctaw, 
chk,chuuk,Chukeese,Aikaisempi koodi: tru
cre,cree,Cree, 
mus,creek,Creek, 
day,dajakki,Land Dayak languages, 
dak,dakota,Dakota, 
dar,dargi,Dargwa,Aikaisempi koodi: cau
del,delaware,Delaware, 
din,dinka,Dinka, 
div,divehi,Divehi, 
dyu,djula,Dyula, 
doi,dogri,Dogri, 
dgr,dogrip,Dogrib, 
dra,dravidakielet,Dravidian languages,Käytä yksilöimättömille dravidakielille
dua,duala,Duala, 
dzo,dzongkha,Dzongkha, 
efi,efik,Efik, 
eka,ekajuk,Ekajuk, 
elx,elami,Elamite, 
eng,englanti,English, 
cpe,englantiin perustuvat kreolit ja pidginit,"Creoles and Pidgins, English-based",Käytä yksilöimättömille englantiin perustuville kreoli- ja pidginkielille
myv,ersä,Erzya,Aikaisempi koodi: fiu
spa,espanja,Spanish, 
epo,esperanto,Esperanto,Aikaisempi koodi: esp
sai,Etelä-Amerikan intiaanikielet,South American Indian languages,Käytä yksilöimättömille Etelä-Amerikan intiaanikielille
ewe,ewe,Ewe, 
ewo,ewondo,Ewondo, 
fao,fääri,Faroese,Aikaisempi koodi: far
fan,fang,Fang, 
fat,fanti,Fanti, 
per,"farsi, persia",Persian, 
fij,fidzi,Fijian, 
fil,filipino,Filipino, 
phi,filippiiniläiset kielet,Philippine languages,Käytä yksilöimättömille filippiiniläisille kielille
phn,foinikia,Phoenician, 
fon,fon,Fon, 
frs,"friisi, itä-",Eastern Frisian, 
fry,"friisi, länsi-",Western Frisian,Aikaisempi koodi: fri
frr,"friisi, pohjois-",Northern Frisian, 
fur,friuli,Friulian, 
ful,fulani,Fula, 
gaa,ga,Ga, 
gla,gaeli,Scottish Gaelic,Aikaisempi koodi: gae
gay,gajo,Gayo, 
glg,galicia,Galician,Aikaisempi koodi: gag
lug,ganda,Ganda, 
gba,gbaja,Gbaya, 
gez,ge'ez,Ethiopic,Aikaisempi koodi: eth
geo,georgia,Georgian, 
gem,germaaniset kielet,Germanic languages,Käytä yksilöimättömille germaanisille kielille
gon,gondi,Gondi, 
got,gootti,Gothic, 
gor,gorontalo,Gorontalo, 
grb,grebo,Grebo, 
grn,guarani,Guarani,Aikaisempi koodi: gua
guj,gudzarati,Gujarati, 
gwi,gwitsin,Gwich'in, 
hai,haida,Haida, 
hat,haiti,Haitian French Creole,Aikaisempi koodi: cpf
hau,hausa,Hausa, 
haw,havaiji,Hawaiian, 
hit,heetti,Hittite, 
heb,heprea,Hebrew, 
her,herero,Herero, 
hil,hiligaino,Hiligaynon, 
him,himatsali,"Himachali languages, western Pahari languages", 
hin,hindi,Hindi, 
hmo,hiri-motu,Hiri Motu, 
hmn,hmong,Hmong, 
dut,hollanti,Dutch, 
hup,hupa,Hupa, 
iba,iban,Iban, 
ido,ido,Ido,Aikaisempi koodi: art
ijo,idzo,Ijo languages, 
ibo,igbo,Igbo, 
gle,iiri,Irish,Aikaisempi koodi: iri
ilo,iloko,Iloko, 
inc,indoarjalaiset kielet,Indic languages,Käytä yksilöimättömille indoarjalaisille kielille
ine,indoeurooppalaiset kielet,Indo-European languages,Käytä yksilöimättömille indoeurooppalaisille kielille
ind,indonesia,Indonesian, 
inh,inguusi,Ingush,Aikaisempi koodi: cau
ina,interlingua,Interlingua (International Auxiliary Language Association),Aikaisempi koodi: int
ile,interlingue,Interlingue, 
iku,inuktitut,Inuktitut, 
ipk,inupiatun,Inupiaq, 
ira,iranilaiset kielet,Iranian languages,Käytä yksilöimättömille iranilaisille kielille
iro,irokeesikielet,Iroquoian languages,Käytä yksilöimättömille irokeesikielille
ice,islanti,Icelandic, 
ita,italia,Italian, 
jav,jaava,Javanese, 
sah,jakuutti,Yakut, 
yao,jao,Yao (Africa), 
jpn,japani,Japanese, 
yap,japi,Yapese, 
yid,jiddis,Yiddish, 
yor,joruba,Yoruba, 
ypk,jupikkikielet,Yupik languages,Aikaisempi koodi: esk
jrb,juutalaisarabia,Judeo-Arabic, 
jpr,juutalaispersia,Judeo-Persian, 
kbd,kabardi,Kabardian,Aikaisempi koodi: cau
kab,kabyyli,Kabyle, 
kac,kachin,Kachin, 
kal,"kalaallisut, grönlanti",Kalâtdlisut, 
xal,kalmukki,Kalmyk,Aikaisempi koodi: tut
kam,kamba,Kamba, 
kan,kannada,Kannada, 
kau,kanuri,Kanuri, 
kaa,karakalpakki,Kara-Kalpak, 
krc,karatsai-balkaari,Karachary-Balkar,Aikaisempi koodi: tut
kar,karen,Karen languages, 
car,karibi,Galibi Carib, 
krl,karjala,Karelian,Aikaisempi koodi: fiu
kas,kasmiri,Kashmiri, 
csb,kasubi,Kashubian,Aikaisempi koodi: sla
cat,katalaani,Catalan, 
cau,kaukasialaiset kielet,Caucasian languages,Käytä yksilöimättömille kaukasialaisille kielille
kaw,kavi,Kawi, 
kaz,kazakki,Kazakh, 
art,keinotekoiset kielet,Artificial languages,Käytä yksilöimättömille keinotekoisille kielille
cel,kelttiläiset kielet,Celtic languages,Käytä yksilöimättömille kelttiläisille kielille
cai,Keski-Amerikan intiaanikielet,Central American Indian languages,Käytä yksilöimättömille Keski-Amerikan intiaanikielille
enm,keskienglanti (n. 1100-1500),"English, Middle (1100-1500)", 
dum,keskihollanti (n. 1050-1350),"Dutch, Middle (ca. 1050-1350)", 
mga,keski-iiri (n. 1100-1550),"Irish, Middle (ca. 1100-1550)", 
frm,keskiranska (n. 1400-1600),"French, Middle (ca. 1400-1600)", 
gmh,keskiyläsaksa (n. 1050-1500),"German, Middle High (ca. 1050-1500)", 
que,ketsua,Quechua, 
kha,khasi,Khasi, 
khm,khmer,Central Khmer,Aikaisempi koodi: cam
khi,khoisan-kielet,Khoisan languages,Käytä yksilöimättömille khoisan-kielille
kho,khotani,"Khotanese, Sakan", 
chi,kiina,Chinese, 
kik,kikuju,Kikuyu, 
kmb,kimbundu,Kimbundu, 
kir,kirgiisi,Kyrgyz, 
gil,kiribati,Gilbertese, 
chu,kirkkoslaavi,Church Slavic, 
nwc,klassinen newari,"Newari, Old", 
tlh,klingon (keinotekoinen kieli),Klingon (Artificial language), 
kom,"komi (komipermjakki, komisyrjääni, komijazva)",Komi, 
kon,kongo,Kongo, 
kok,konkani,Konkani, 
cop,kopti,Coptic, 
kor,korea,Korean, 
cor,korni,Cornish, 
cos,korsika,Corsican, 
kos,kosrae,Kusaie,Aikaisempi koodi: kus
kpe,kpelle,Kpelle, 
gre,kreikka (1453-),"Greek, Modern (1453- )", 
crp,kreolit ja pidginit,Creoles and Pidgins,Käytä yksilöimättömille kreoli- ja pidginkielille
crh,"krimintataari, kriminturkki",Crimean Tatar,Aikaisempi koodi: tut
hrv,kroatia,Croatian,Aikaisempi koodi: scr
kro,kru-kielet,Kru languages,Käytä yksilöimättömille kru-kielille
kua,kuanjama,Kuanyama, 
kum,kumykki,Kumyk, 
kur,kurdi,Kurdish, 
kru,kurukh,Kurukh, 
kut,kutenai,Kootenai, 
cus,kuusilaiset kielet,Cushitic languages,Käytä yksilöimättömille kuusilaisille kielille
wel,kymri,Welsh, 
lad,"ladino, juutalaisespanja",Ladino, 
lah,lahnda,Lahnda, 
lam,lamba,Lamba (Zambia and Congo), 
lao,lao,Lao, 
lat,latina,Latin, 
lav,latvia,Latvian, 
lez,lezgi,Lezgian, 
lit,liettua,Lithuanian, 
lim,limburg,Limburgish, 
lin,lingala,Lingala, 
jbo,lojban (keinotekoinen kieli),Ljoban (Artificial language), 
loz,lozi,Lozi, 
lub,luba (Katanga),Luba-Katanga, 
lua,luba (Lulua),Luba-Lulua, 
lui,luiseno,Luiseno, 
lun,lunda,Lunda, 
luo,luo,Luo (Kenya and Tanzania), 
mis,luokittelemattomat kielet,Miscellaneous languages, 
lus,lusai,Lushai, 
ltz,luxemburg,Luxembourgish, 
mas,maasai,Masai, 
mad,madura,Madurese, 
mag,magahi,Magahi, 
mai,maithili,Maithili, 
mak,makassar,Makasar, 
mac,makedonia,Macedonian, 
mlg,malagassi,Malagasy,Aikaisempi koodi: mla
may,malaiji,Malay, 
mal,malajalam,Malayalam, 
mlt,malta,Maltese, 
mdr,mandar,Mandar, 
man,mandingo,Mandingo, 
mni,manipuri,Manipuri, 
mno,manobo-kielet,Manobo languages,Käytä yksilöimättömille manobokielille
mnc,mantsu,Manchu, 
glv,manx,Manx,Aikaisempi koodi: max
mao,maori,Maori, 
mar,marathi,Marathi, 
chm,mari,Mari, 
mah,marshall,Marshallese, 
mwr,marwari,Marwari, 
myn,maya-kielet,Mayan languages,Käytä yksilöimättömille maya-kielille
men,mende,Mende, 
mic,micmac,Micmac, 
min,minangkabau,Minangkabau, 
mwl,mirandeesi,Mirandese, 
moh,mohawk,Mohawk, 
mdf,moksa,Moksha,Aikaisempi koodi: fiu
rum,moldavia,"Romanian, Moldovan",Aikaisempi koodi: mol
lol,mongo,Mongo-Nkundu, 
mon,mongoli,Mongolian, 
mkh,mon-khmer-kielet,Mon-Khmer languages,Käytä yksilöimättömille mon-khmer-kielille
mos,mossi,Mooré, 
egy,muinaisegypti,Egyptian, 
ang,muinaisenglanti (n. 450-1100),"English, Old (ca. 450-1100)", 
sga,muinaisiiri (-900),"Irish, Old (to 1100)", 
grc,muinaiskreikka (-1453),"Greek, Ancient (to 1453)", 
non,muinaisnorja,Old Norse, 
peo,muinaispersia (n. 600-400 eKr.),Old Persian (ca. 600-400 B.C.), 
pro,muinaisprovensaali (-1500),"Old Provençal (to 1500), Old Occitan (to 1500)", 
fro,muinaisranska (n. 842-1400),"French, Old (ca. 842-1400)", 
syc,muinaissyyria,Syriac, 
goh,muinaisyläsaksa (n. 750-1050),"German, Old High (ca. 750-1050)", 
mun,mundakielet,Munda languages,Käytä yksilöimättömille mundakielille
bla,mustajalka,Siksika, 
nah,nahuatl,Nahuatl languages, 
nap,napoli,Neapolitan Italian,Aikaisempi koodi: ita
nau,nauru,Nauru, 
nav,navajo,Navajo, 
nbl,"ndebele, etelä-",Ndebele (South Africa), 
nde,"ndebele, pohjois-",Ndebele (Zimbabwe), 
ndo,ndonga,Ndonga, 
nep,nepali,Nepali, 
new,newari,Newari, 
nia,nias,Nias, 
nic,nigeriläis-kongolaiset kielet,Niger-Kordofanian languages,Käytä yksilöimättömille nigeriläis-kongolaisille kielille
ssa,niililäis-saharalaiset kielet,Nilo-Saharan languages,Käytä yksilöimättömille niililäis-saharalaisille kielille
niu,niue,Niuean, 
nya,njandza,Nyanja, 
nqo,n'ko,N'Ko, 
nog,nogai,Nogai,Aikaisempi koodi: tut
nor,norja,Norwegian, 
nob,"norja, bokmål",Bokmål,"Suositus, käytä: nor (norja)"
nno,"norja, nynorsk",Nynorsk,"Suositus, käytä: nor (norja)"
nub,nubialaiset kielet,Nubian languages,Käytä yksilöimättömille nubialaisille kielille
nym,nyamwezi,Nyamwezi, 
nyn,nyankole,Nyankole, 
nyo,nyoro,Nyoro, 
nzi,nzima,Nzima, 
oji,odzibwa,Ojibwa, 
oci,oksitaani (1500-),Occitan (post 1500),Aikaisempi koodi: lan
ori,orija,Oriya, 
orm,oromo,Oromo,Aikaisempi koodi: gal
osa,osage,Osage, 
ota,osmani (1500-1928),"Turkish, Ottoman", 
oss,osseetti,Ossetic, 
oto,otomi-kielet,Otomian languages,Käytä yksilöimättömille otomi-kielille
pli,paali,Pali, 
pal,pahlavi,Pahlavi, 
pau,palau,Palauan, 
pam,pampanga,Pampanga, 
pan,pandzabi,Panjabi, 
pag,pangasinan,Pangasinan, 
pap,papiamentu,Papiamento, 
paa,papualaiset kielet,Papuan languages,Käytä yksilöimättömille papualaisille kielille
pus,pastu,"Pushto, Pashto", 
nai,Pohjois-Amerikan intiaanikielet,North American Indian languages,Käytä yksilöimättömille Pohjois-Amerikan intiaalikielille
pon,pohnpei,Ponape, 
por,portugali,Portuguese, 
cpp,portugaliin perustuvat kreolit ja pidginit,"Creoles and Pidgins, Portuguese-based",Käytä yksilöimättömille portugaliin perustuville kreoli- ja pidginkielille
pra,prakit-kielet,Prakrit languages,Käytä yksilöimättömille prakrit-kielille
pol,puola,Polish, 
raj,radzastani,Rajasthani, 
fre,ranska,French, 
cpf,ranskaan perustuvat kreolit ja pidginit,"Creoles and Pidgins, French-based",Käytä yksilöimättömille ranskaan perustuville kreoli- ja pidginkielille
rap,rapanui,Rapanui, 
rar,rarotonga,Rarotongan, 
roh,retoromaani,Romansh, 
roa,romaaniset kielet,Romance languages,Käytä yksilöimättömille romaanisille kielille
rom,romani,Romani, 
rum,romania,"Romanian, Moldovan", 
kin,ruanda,Kinyarwanda, 
run,rundi,Rundi, 
swe,ruotsi,Swedish, 
sma,"saame, etelä-",Southern Sami, 
smn,"saame, inarin-",Inari Sami, 
sms,"saame, koltan-",Skolt Sami, 
smj,"saame, luulajan-",Lule Sami, 
sme,"saame, pohjois-",Northern Sami, 
smi,saamelaiskielet,Sami languages,"Käytä yksilöimättömille saamelaiskielille. Ks. sma, sme, smj, smn, sms"
ger,saksa,German, 
sal,salisialaiset kielet,Salishan languages,Käytä yksilöimättömille salisialaisille kielille
sam,samarianaramea,Samaritan Aramaic, 
smo,samoa,Samoan,Aikaisempi koodi: sao
sad,sandawe,Sandawe, 
sag,sango,Sango (Ubango Creole), 
san,sanskrit,Sanskrit, 
sat,santali,Santali, 
zap,sapoteekki,Zapotec, 
srd,sardi,Sardinian, 
sas,sasak,Sasak, 
sem,seemiläiset kielet,Semitic languages,Käytä yksilöimättömille semitiska kielille
sel,selkuppi,Selkup, 
srp,serbia,Serbian,Aikaisempi koodi: scc
srr,serer,Serer, 
shn,shan,Shan, 
iii,sichuannin-yi,Sichuan Yi, 
sid,sidamo,Sidamo, 
snd,sindhi,Sindhi, 
sin,sinhali,Sinhalese,Aikaisempi koodi: snh
sit,sinotiibetiläiset kielet,Sino-Tibetan languages,Käytä yksilöimättömille sino-tiibetiläisille kielille
sio,sioux-kielet,Siouan languages,Käytä yksilöimättömille sioux-kielille
scn,sisilia,Sicilian Italian,Aikaisempi koodi: ita
sco,skotti,Scots, 
sla,slaavilaiset kielet,Slavic languages,Käytä yksilöimättömille slaavilaisille kielille
den,slevi,Slave, 
slo,slovakki,Slovak, 
slv,sloveeni,Slovenian, 
sog,sogdi,Sogdian, 
som,somali,Somali, 
sna,sona,Shona,Aikaisempi koodi: sho
son,songhai,Songhai languages, 
snk,soninke,Soninke, 
wen,sorbin kielet,Sorbian languages,Käytä yksilöimättömille sorbin kielille
sot,"sotho, etelä-",Sotho,Aikaisempi koodi: sso
nso,"sotho, pohjois-",Northern Sotho, 
srn,sranan,Sranan Tongo,Aikaisempi koodi: cpe
suk,sukuma,Sukuma, 
sux,sumeri,Sumerian, 
sun,sunda,Sundanese, 
fiu,suomalais-ugrilaiset kielet,Finno-Ugrian languages,Käytä yksilöimättömille suomalais-ugrilaisille kielille
fin,suomi,Finnish, 
sus,susu,Susu, 
gsw,sveitsinsaksa,"Swiss German, Alemannic, Alsatian",Aikaisempi koodi: ger
swa,swahili,Swahili, 
ssw,swazi,Swazi,Aikaisempi koodi: swz
syr,syyria,"Syriac, Modern", 
tgk,tadzikki,Tajik,Aikaisempi koodi: taj
tgl,tagalog,Tagalog,Aikaisempi koodi: tag
tah,tahiti,Tahitian, 
tmh,tamasek,Tamashek, 
tam,tamil,Tamil, 
dan,tanska,Danish, 
tat,tataari,Tatar,Aikaisempi koodi: tar
tel,telugu,Telugu, 
tem,temne,Temne, 
ter,tereno,Terena, 
tet,tetum,Tetum, 
tha,thai,Thai, 
tai,thaikielet,Tai languages,Käytä yksilöimättömille thaikielille
tig,tigre,Tigré, 
tir,tigrinja,Tigrinya, 
tib,tiibet,Tibetan, 
tiv,tiv,Tiv, 
tli,tlingit,Tlingit, 
tkl,tokelau,Tokelauan, 
tpi,tok-pisin,Tok Pisin, 
tog,tonga (Malawi),Tonga (Nyasa), 
ton,tonga (Tonga),Tongan, 
chg,tsagatai,Chagatai, 
cmc,tsam-kielet,Chamic languages,Käytä yksilöimättömille tsam-kielille
cha,tsamorro,Chamorro, 
cze,tsekki,Czech, 
che,tsetseeni,Chechen, 
chb,tsibtsa,Chibcha, 
tsi,tsimsi,Tsimshian, 
tso,tsonga,Tsonga, 
chv,tsuvassi,Chuvash, 
tsn,tswana,Tswana,Aikaisempi koodi: tsw
tum,tumbuka,Tumbuka, 
tup,tupi-kielet,Tupi languages,Aikaisempi koodi: sai
tur,turkki,Turkish, 
tuk,turkmeeni,Turkmen, 
tyv,tuva,Tuvinian, 
tvl,tuvalu,Tuvaluan, 
twi,twi,Twi, 
udm,udmurtti,Udmurt,Aikaisempi koodi: fiu
uga,ugarit,Ugaritic, 
uig,uiguuri,Uighur, 
ukr,ukraina,Ukrainian, 
umb,umbundu,Umbundu, 
hun,unkari,Hungarian, 
urd,urdu,Urdu, 
uzb,uzbekki,Uzbek, 
vai,vai,Vai, 
bel,valkovenäjä,Belarusian, 
wln,valloni,Walloon,Aikaisempi koodi: roa
vot,vatja,Votic, 
rus,venäjä,Russian, 
ven,venda,Venda, 
vie,vietnam,Vietnamese, 
sgn,viittomakielet,Sign languages,Ks. muut erikoiskoodit
est,viro,Estonian, 
vol,volapük,Volapük, 
wak,wakash-kielet,Wakashan languages,Käytä yksilöimättömille wakash-kielille
wal,walamo,"Wolaitta, Wolaytta", 
war,waray,Waray, 
was,washo,Washo, 
wol,wolof,Wolof, 
xho,xhosa,Xhosa, 
hsb,yläsorbi,Upper Sorbian,Aikaisempi koodi: wen
zza,zaza,Zaza, 
znd,zande,Zande languages, 
zen,zenaga,Zenaga, 
zha,zhuang,Zhuang, 
zul,zulu,Zulu, 
zun,zuni,Zuni, 
zxx,"ei kielellistä sisältöä, soveltumaton","No linguistic content, Not applicable","Aikaisempi koodi: ### (tyhjiä).
Esim. instrumentaalimusiikki, lähdekoodi, luonnonääniä sisältävä äänite."
|||,ei koodattu,No attempt to code, 
und,määrittelemätön,Undetermined,"Ihmisperäistä ääntä (esim. hyräilyä) tai tekstiä, jota ei voida lukea kuuluvaksi johonkin tiettyyn kieleen."
### (tyhjiä),tieto puuttuu,No information provided,"Ennen 06/2006 käytettiin kuvaamaan kohdetta, jolla ei ole kielellistä sisältöä. Vertaa: zxx"
mul,useita kieliä,Multiple languages,"Kun kuvailun kohteessa on käytetty kahta tai useampaa kieltä, eikä ole käytännöllistä luetella kaikkien kielten koodeja."
sgn,viittomakielet,Sign languages, 
